20,800
theta,thetaDot,P1,P2,u1,u2
0.435574,0.631489,119393,1.19736,124046,277653
0.436835,0.633233,119700,1.20043,124350,277348
0.4381,0.634978,120006,1.2035,124654,277043
0.439369,0.636722,120313,1.20656,124958,276738
0.44064,0.638467,120619,1.20962,125262,276433
0.441913,0.640211,120925,1.21269,125566,276128
0.443188,0.641956,121230,1.21575,125869,275824
0.444463,0.6437,121536,1.2188,126172,275519
0.445738,0.645444,121842,1.22186,126476,275215
0.447012,0.647189,122147,1.22492,126779,274911
0.448285,0.648933,122452,1.22797,127081,274607
0.449556,0.650678,122757,1.23102,127384,274304
0.450824,0.652422,123062,1.23407,127686,274000
0.452088,0.654167,123367,1.23712,127989,273697
0.453349,0.655911,123671,1.24017,128291,273393
0.454605,0.657656,123975,1.24321,128593,273090
0.455855,0.6594,124280,1.24626,128895,272787
0.4571,0.661144,124584,1.2493,129196,272485
0.458339,0.662889,124888,1.25234,129498,272182
0.45957,0.664633,125191,1.25538,129799,271880
0.460795,0.666378,125495,1.25842,130100,271577
0.462011,0.668122,125798,1.26145,130401,271275
0.463219,0.669867,126102,1.26449,130702,270973
0.464419,0.671611,126405,1.26752,131003,270672
0.465609,0.673356,126708,1.27055,131304,270370
0.466791,0.6751,127010,1.27358,131604,270069
0.467962,0.676844,127313,1.27661,131904,269767
0.469124,0.678589,127616,1.27964,132204,269466
0.470276,0.680333,127918,1.28266,132504,269165
0.471417,0.682078,128220,1.28569,132804,268864
0.472548,0.683822,128522,1.28871,133103,268564
0.473669,0.685567,128824,1.29173,133402,268263
0.474778,0.687311,129125,1.29474,133702,267963
0.475877,0.689056,129427,1.29776,134001,267663
0.476966,0.6908,129728,1.30078,134299,267363
0.478043,0.692544,130029,1.30379,134598,267063
0.479111,0.694289,130330,1.3068,134897,266764
0.480167,0.696033,130631,1.30981,135195,266464
0.481213,0.697778,130932,1.31282,135493,266165
0.482249,0.699522,131232,1.31583,135791,265866
0.483275,0.701267,131533,1.31883,136089,265567
0.484292,0.703011,131833,1.32184,136387,265268
0.485298,0.704756,132133,1.32484,136684,264969
0.486296,0.7065,132433,1.32784,136981,264671
0.487284,0.708244,132732,1.33084,137278,264373
0.488264,0.709989,133032,1.33383,137575,264075
0.489235,0.711733,133331,1.33683,137872,263777
0.490199,0.713478,133630,1.33982,138169,263479
0.491155,0.715222,133929,1.34281,138465,263181
0.492104,0.716967,134228,1.3458,138761,262884
0.493047,0.718711,134527,1.34879,139057,262587
0.493983,0.720456,134825,1.35178,139353,262290
0.494914,0.7222,135124,1.35476,139649,261993
0.495839,0.723944,135422,1.35775,139945,261696
0.49676,0.725689,135720,1.36073,140240,261399
0.497677,0.727433,136018,1.36371,140535,261103
0.49859,0.729178,136315,1.36668,140830,260807
0.499499,0.730922,136613,1.36966,141125,260511
0.500406,0.732667,136910,1.37264,141420,260215
0.501311,0.734411,137207,1.37561,141714,259919
0.502215,0.736156,137504,1.37858,142009,259624
0.503117,0.7379,137801,1.38155,142303,259328
0.504018,0.739644,138097,1.38452,142597,259033
0.50492,0.741389,138394,1.38748,142890,258738
0.505822,0.743133,138690,1.39045,143184,258444
0.506725,0.744878,138986,1.39341,143478,258149
0.507629,0.746622,139282,1.39637,143771,257855
0.508535,0.748367,139578,1.39933,144064,257560
0.509444,0.750111,139873,1.40229,144357,257266
0.510355,0.751856,140169,1.40524,144649,256972
0.51127,0.7536,140464,1.40819,144942,256679
0.512188,0.755344,140759,1.41115,145234,256385
0.51311,0.757089,141054,1.4141,145526,256092
0.514037,0.758833,141348,1.41704,145818,255798
0.514968,0.760578,141643,1.41999,146110,255505
0.515904,0.762322,141937,1.42294,146402,255213
0.516846,0.764067,142231,1.42588,146693,254920
0.517793,0.765811,142525,1.42882,146984,254628
0.518746,0.767556,142819,1.43176,147275,254335
0.519706,0.7693,143112,1.4347,147566,254043
0.520671,0.771044,143406,1.43763,147857,253751
0.521644,0.772789,143699,1.44057,148148,253459
0.522622,0.774533,143992,1.4435,148438,253168
0.523608,0.776278,144285,1.44643,148728,252877
0.524601,0.778022,144578,1.44936,149018,252585
0.5256,0.779767,144870,1.45228,149308,252294
0.526607,0.781511,145163,1.45521,149597,252004
0.52762,0.783256,145455,1.45813,149887,251713
0.528641,0.785,145747,1.46105,150176,251422
0.529668,0.786744,146038,1.46397,150465,251132
0.530703,0.788489,146330,1.46689,150754,250842
0.531744,0.790233,146621,1.46981,151042,250552
0.532792,0.791978,146913,1.47272,151331,250263
0.533847,0.793722,147204,1.47563,151619,249973
0.534908,0.795467,147495,1.47854,151907,249684
0.535976,0.797211,147785,1.48145,152195,249395
0.53705,0.798956,148076,1.48436,152483,249106
0.538129,0.8007,148366,1.48726,152770,248817
0.539215,0.802444,148656,1.49016,153058,248528
0.540305,0.804189,148946,1.49307,153345,248240
0.541401,0.805933,149236,1.49596,153632,247952
0.542502,0.807678,149526,1.49886,153918,247664
0.543607,0.809422,149815,1.50176,154205,247376
0.544717,0.811167,150104,1.50465,154491,247088
0.54583,0.812911,150393,1.50754,154777,246801
0.546947,0.814656,150682,1.51043,155063,246513
0.548067,0.8164,150971,1.51332,155349,246226
0.54919,0.818144,151259,1.51621,155635,245940
0.550316,0.819889,151547,1.51909,155920,245653
0.551443,0.821633,151835,1.52197,156205,245366
0.552573,0.823378,152123,1.52485,156490,245080
0.553703,0.825122,152411,1.52773,156775,244794
0.554835,0.826867,152698,1.53061,157060,244508
0.555967,0.828611,152986,1.53348,157344,244222
0.5571,0.830356,153273,1.53635,157629,243937
0.558232,0.8321,153560,1.53923,157913,243651
0.559364,0.833844,153847,1.54209,158196,243366
0.560495,0.835589,154133,1.54496,158480,243081
0.561625,0.837333,154419,1.54783,158764,242796
0.562753,0.839078,154706,1.55069,159047,242512
0.563878,0.840822,154992,1.55355,159330,242228
0.565002,0.842567,155277,1.55641,159613,241943
0.566123,0.844311,155563,1.55927,159895,241659
0.567241,0.846056,155848,1.56212,160178,241376
0.568356,0.8478,156134,1.56498,160460,241092
0.569467,0.849544,156419,1.56783,160742,240809
0.570574,0.851289,156703,1.57068,161024,240525
0.571677,0.853033,156988,1.57352,161306,240242
0.572775,0.854778,157272,1.57637,161587,239960
0.573869,0.856522,157557,1.57921,161869,239677
0.574959,0.858267,157841,1.58206,162150,239395
0.576043,0.860011,158125,1.5849,162430,239112
0.577121,0.861756,158408,1.58773,162711,238830
0.578195,0.8635,158692,1.59057,162992,238549
0.579263,0.865244,158975,1.5934,163272,238267
0.580325,0.866989,159258,1.59624,163552,237985
0.581381,0.868733,159541,1.59907,163832,237704
0.582431,0.870478,159823,1.60189,164112,237423
0.583476,0.872222,160106,1.60472,164391,237142
0.584514,0.873967,160388,1.60754,164670,236862
0.585547,0.875711,160670,1.61037,164949,236581
0.586573,0.877456,160952,1.61319,165228,236301
0.587593,0.8792,161234,1.616,165507,236021
0.588607,0.880944,161515,1.61882,165785,235741
0.589616,0.882689,161797,1.62163,166064,235462
0.590618,0.884433,162078,1.62445,166342,235182
0.591614,0.886178,162359,1.62726,166620,234903
0.592605,0.887922,162639,1.63006,166897,234624
0.59359,0.889667,162920,1.63287,167175,234345
0.594569,0.891411,163200,1.63567,167452,234067
0.595543,0.893156,163480,1.63848,167729,233788
0.596512,0.8949,163760,1.64128,168006,233510
0.597476,0.896644,164040,1.64408,168282,233232
0.598435,0.898389,164319,1.64687,168559,232954
0.599389,0.900133,164598,1.64967,168835,232677
